date,IVE,IVV,SPY,VOOV
2016-01-04,75.2265149868074,179.010188814068,177.128178069083,72.4062989958544
2016-01-05,75.4328977439729,179.382388216553,177.427765413429,72.6645240279366
2016-01-06,74.3063918611114,177.033987224685,175.189657262131,71.5799788931913
2016-01-07,72.612333396045,172.798003548788,170.986582438283,69.9961986964204
2016-01-08,71.6922102703491,170.883835193152,169.109734873759,69.1182335873408
2016-01-11,71.5976181733149,171.061073003859,169.277155451552,69.023637150588
2016-01-12,72.0361815322915,172.381494693626,170.642935980497,69.4453186279783
2016-01-13,70.5055094166477,168.189820470406,166.386994097569,67.9476134419014
2016-01-14,71.6492138626062,170.857249521546,169.118541938253,69.0924110841326
2016-01-15,70.187335999351,167.259321964194,165.488220609617,67.5860983969863
2016-01-19,70.0841446207682,167.347940869548,165.708507365343,67.5516683927087
2016-01-20,69.0264329902953,165.407186842306,163.584939515552,66.5962357740045
2016-01-21,69.4649963492719,166.266790224235,164.50133946855,66.9577508189196
2016-01-22,70.7032928922646,169.696341861415,167.876134328573,68.1757122202407
2016-01-25,69.4134006599805,167.108669825093,165.33842649687,66.8802833092949
2016-01-26,70.6774950476189,169.377313802143,167.594161113214,68.0635564813063
2016-01-27,70.3593216303222,167.560626242396,165.770193824976,67.706603411958
2016-01-28,70.6087007952304,168.473400967537,166.633714382835,68.0767259579425
2016-01-29,72.3629542311368,172.47011359898,170.69580215843,69.608861148297
2016-02-01,72.259762852554,172.452389817909,170.634115698798,69.6432911525747
2016-02-02,70.8064842708473,169.341866240001,167.558921400327,68.2574834804001
2016-02-03,71.5890188917663,170.245779074607,168.563428125293,68.8944385595362
2016-02-04,71.9501887168059,170.617978477092,168.827774875605,69.333421114076
2016-02-05,71.2020512220811,167.356802760083,165.611580311677,68.4898860092741
2016-02-08,70.4539137273563,165.105882564104,163.382279224872,67.8357159279991
2016-02-09,70.1787367178024,165.043849330357,163.391086289366,67.6549584055416
2016-02-10,69.9035597082485,164.964092315539,163.250112458319,67.4569858809452
2016-02-11,68.7684545438385,162.908133711337,161.126545489675,66.3466182429917
2016-02-12,70.4195166011621,166.204756990488,164.448473290617,67.9217909386932
2016-02-16,71.4514303869894,168.969666837517,167.224081125888,68.9202610627444
2016-02-17,72.6037341144965,171.770024246687,169.955642183778,70.0047201224791
2016-02-18,72.4661456097195,171.07879678493,169.259528105359,69.841263677171
2016-02-19,72.2941599787483,170.972454098506,169.180228397885,69.6605061547135
2016-02-22,73.3604708907698,173.444921557868,171.629816240416,70.7364437883894
2016-02-23,72.3887520757824,171.335791610455,169.462201613244,69.8154411739628
2016-02-24,72.6639290853364,172.115637977566,170.237602181931,70.0048061974898
2016-02-25,73.455062987804,174.136149019626,172.299482690942,70.7373045384963
2016-02-26,73.3690701723183,173.825982850888,171.902969174076,70.72783628732
2016-02-29,72.7929183085648,172.372632803091,170.554815991324,70.1425262146003
2016-03-01,74.3837853950485,176.519997573635,174.564037588986,71.6746614049548
2016-03-02,75.020132229642,177.299843940746,175.348257558225,72.2944014819521
2016-03-03,75.527489841007,177.929038168755,176.035551354944,72.7592065397001
2016-03-04,75.8628618214009,178.54937050623,176.608291632951,73.137936586754
2016-03-07,76.310024461926,178.726608316937,176.749277800057,73.4119133457933
2016-03-08,75.2093164237103,176.688373493806,174.8195640576,72.5181965097567
2016-03-09,75.5790855302984,177.601148218947,175.683097832664,72.7810695924164
2016-03-10,75.6048833749441,177.698629014836,175.824070782565,72.8883190557412
2016-03-11,76.8517791994854,180.640776672573,178.661365958615,74.0417241990418
2016-03-14,76.6539957238685,180.392643737583,178.432272138395,73.8523591755148
2016-03-15,76.3874179958631,180.091339459381,178.141491858542,73.6458652248598
2016-03-16,76.8259813548397,181.243385228976,179.172432113048,74.0546354506459
2016-03-17,77.5139238787245,182.386569108036,180.309119702919,74.7518430372679
2016-03-18,78.0298807716381,183.060072788723,181.014037321244,75.2294732716093
2016-03-21,78.0298807716381,183.325929504784,181.270876554244,75.2252555960853
2016-03-22,77.8750937037641,183.219586818359,181.173452424593,75.0607436420883
2016-03-23,77.2436484596533,182.039386822533,179.97780062266,74.411440935234
2016-03-24,77.1225226668178,181.932462072564,179.898079343039,74.2987935393656
2016-03-28,77.1657818785447,182.048297218364,180.004369068489,74.3680617305222
2016-03-29,77.6675887345774,183.785824405363,181.669427154889,74.8442805447239
2016-03-30,77.9704032166661,184.56102884264,182.466541641286,75.130011833245
2016-03-31,77.8060182121037,184.133329842763,182.023704688324,75.0780606898775
2016-04-01,78.100180851847,185.309502092424,183.263642842575,75.2165970721907
2016-04-04,77.7714108427221,184.703595175932,182.670243096953,74.8705158721245
2016-04-05,76.9840931892915,182.894784822286,180.845756622096,74.2555009198927
2016-04-06,77.658936892232,184.872892696716,182.820805889612,74.7923294013565
2016-04-07,76.7591452883114,182.636383343194,180.633190456305,73.8745258685313
2016-04-08,77.0792634550908,183.179917488871,181.120313761585,74.2035497765252
2016-04-11,77.0273524010185,182.663114530687,180.695193829437,74.2587045737337
2016-04-12,77.8752329508668,184.463014488501,182.37796893665,75.1819629766124
2016-04-13,78.8009800818237,186.3163768213,184.220172432321,75.9352545554406
2016-04-14,78.8701948205868,186.334197612962,184.229024743011,76.0218397943864
2016-04-15,78.6885061313336,186.040154550547,184.025323287344,75.8400107926003
2016-04-18,79.2854832531656,187.394534716823,185.318412504037,76.3941563218532
2016-04-19,79.9170677443792,187.964800049992,185.902947539534,76.9954042210926
2016-04-20,80.0987564336324,188.107366383284,186.080092948806,77.2298770481578
