date,TUFV,TUTY,TUUXY,TUUS,TUWN,FVTY,FVUXY,FVUS,FVWN,TYUXY,TYUS,TYWN,UXYUS,UXYWN,USWN
2017-12-19,54.59340090909091,71.2881994065282,80.30729109947643,89.06542704811443,92.87377551369863,36.72855669436203,56.570558418848165,75.83845750585175,84.21682413013698,30.394339005235594,59.90925715214564,72.74339148116438,41.82009915474643,60.00496307791096,29.28619970034245
2017-12-20,54.62396590909092,71.34678338278933,80.36695287958116,89.17173862158648,92.98660017123288,36.790198442136514,56.63457133507853,76.00509996749025,84.39779537671232,30.39797120418848,60.07009915474642,72.92618257705479,42.04285191807543,60.258815817636986,29.336285316780817
2017-12-21,54.61467045454545,71.30937388724035,80.30745811518324,89.07509167750325,92.86143065068492,36.72834755192879,56.524132853403145,75.81292669050715,84.14287243150685,30.32354384816753,59.870468953185956,72.63043129280823,41.865450260078035,59.94521885702055,29.116946703767113
2017-12-22,54.59057272727272,71.27817388724036,80.27298586387434,89.03982795838752,92.82755513698629,36.71272255192879,56.50130890052356,75.78836150845254,84.12136130136986,30.31251636125654,59.85677421976593,72.62141481164383,41.861671001300394,59.94806827910959,29.127622003424648
2017-12-26,54.56996363636364,71.24424540059347,80.23824659685863,88.98667217165149,92.77649383561644,36.68341988130565,56.470222513089006,75.71675877763329,84.05436643835617,30.3097840314136,59.79197821846554,72.5636772260274,41.773732119635895,59.87013056506849,29.14372859589041
2017-12-27,54.53873863636365,71.18914243323442,80.16080104712043,88.85476853055917,92.65216095890412,36.630888353115736,56.36853730366492,75.49526576723017,83.84952910958904,30.234489528795805,59.533159947984394,72.33037243150685,41.51369473342004,59.64624357876713,29.20194777397259
2017-12-28,54.5393990909091,71.20420741839763,80.17204031413613,88.86004200260079,92.64761609589041,36.66257832047479,56.39181069109948,75.50541440572172,83.8380774109589,30.221596858638733,59.50016254876463,72.26428724315068,41.485208062418735,59.57087435787672,29.126444777397253
2017-12-29,54.52028545454546,71.16743293768548,80.14645654450263,88.85103224967492,92.63633441780823,36.62372446290803,56.37757639790576,75.5276429492848,83.85530771917809,30.25930955497381,59.59372968140442,72.35019798801369,41.564348992197665,59.639166845034254,29.108973672945197
2018-01-02,54.53946136363637,71.21157240356084,80.20830209424085,88.94701729518856,92.73704075342467,36.67864428783385,56.471449607329845,75.69662304941482,84.03467465753425,30.31897905759162,59.76844928478543,72.5408283390411,41.72736508452536,59.82472709760275,29.145280393835606
2018-01-03,54.51596136363637,71.1556169139466,80.13899057591624,88.85037035110534,92.64932842465754,36.6072422106825,56.370664267015705,75.53569977243174,83.89340753424658,30.273969240837687,59.631319083224966,72.43380779109589,41.59683842652797,59.73686322773973,29.213987585616437
2018-01-04,54.52667727272728,71.14907240356084,80.11962408376964,88.8073066319896,92.61300393835617,36.56926928783385,56.304482984293195,75.41738459037711,83.78991866438356,30.230759162303656,59.50824934980494,72.33344927226028,41.483684167750326,59.65588880565069,29.2658122859589
2018-01-05,54.550737272727275,71.18753738872404,80.16080785340314,88.86848985695708,92.66664075342466,36.60096025519289,56.34215527748691,75.49905568530559,83.85498765753425,30.239921465968578,59.584809817945384,72.3845783390411,41.57918156697009,59.71535209760275,29.207780393835606
2018-01-08,54.55784,71.19681038575668,80.17062460732984,88.88474473342002,92.67466729452055,36.605734848664696,56.34812613612566,75.51919041352406,83.85702004794521,30.241753926701563,59.60833875162549,72.38037778253425,41.60992360208063,59.70680383133562,29.144504494863
2018-01-09,54.62106272727272,71.31883234421365,80.31662041884816,89.07200325097529,92.84880222602739,36.73509315727004,56.530226921465974,75.79206915214564,84.10102689726028,30.322545811518324,59.828185955786736,72.55599850171232,41.80695302340703,59.84116812928083,29.043584118150676
2018-01-10,54.62816454545454,71.3327418397626,80.33298167539266,89.08825812743822,92.85950428082191,36.75007004747776,56.55059768586388,75.8122058803641,84.10894741780822,30.33080824607329,59.83608988946684,72.54518942636986,41.80644505851757,59.81414544092466,29.000882919520535
2018-01-11,54.59975545454545,71.29564985163205,80.29044240837696,89.03542977893368,92.79261643835616,36.73096767359051,56.51951129842932,75.7584835136541,84.02429416438356,30.31245091623036,59.7830583550065,72.44477739726028,41.757314694408336,59.69788099315069,28.8927654109589
2018-01-12,54.60827818181818,71.28878783382788,80.26066492146596,88.96886605981794,92.70336130136985,36.697121234421374,56.43525082722513,75.59329333159948,83.80918286301369,30.235225785340305,59.58186362158648,72.16711258561644,41.581660435630695,59.4138752140411,28.71826840753424
2018-01-16,54.587731818181815,71.24831483679526,80.20983141361256,88.8970288686606,92.6320285958904,36.65328264094957,56.368619109947645,75.48045351105333,83.6974529109589,30.200310863874336,59.476166287386214,72.06311536815068,41.48136784785436,59.31599154537672,28.722147902397253
2018-01-17,54.62250818181818,71.28950830860535,80.23819319371728,88.91108465539662,92.62258578767124,36.667400278931765,56.35450702617801,75.43486824187256,83.6001707328767,30.15706806282722,59.38471228868661,71.89247110445206,41.41305672951886,59.13547463613014,28.541443707191775
2018-01-18,54.647365909090915,71.35441928783384,80.32327172774869,89.02893250975293,92.72157979452055,36.75551743323443,56.48699280104712,75.63944652145645,83.76327054794521,30.225032722513077,59.563109557867364,72.00733090753425,41.56953023407023,59.20192101883562,28.396457619863
2018-01-19,54.6807840909091,71.38202077151337,80.3587722513089,89.06648829648896,92.76239212328768,36.74272069732939,56.491573952879584,75.64854925227569,83.77953767123287,30.251652486910984,59.59665555916775,72.05185145547945,41.57934411573473,59.227284888698634,28.421500428082183
