,Annualized Return,Annualized Volatility,Annualized Sharpe Ratio,Annualized Sortino Ratio,Market Beta,Market Alpha,Max Drawdown
2000,0.06779795006273334,0.026177477625828432,2.5899344097171304,4.691848583448265,-0.01709772111838181,0.00026395644765236134,-0.00771588311335672
2001,0.04211049006909256,0.027437304602260987,1.5347896114264235,2.133404748069839,0.035011051454893874,0.00018066000095308578,-0.026370914152769365
2002,0.11970924983292724,0.045135506047825645,2.652219069086833,2.929591867867886,0.039200380326047626,0.0005117126037691301,-0.023832735814701772
2003,0.0487063161229052,0.016606066644900486,2.933043517434172,4.553130768022482,-0.02040009439248002,0.0002106405491250231,-0.008317633770257266
2004,0.03697373261855083,0.047610477551973805,0.7765881486525438,0.9287311756290226,0.0045454185700348065,0.00014510196784905683,-0.03525059441209495
2005,0.09668276235576384,0.0393758064468394,2.455384945227562,2.7782113663623114,-0.01774308423837213,0.00038646948931149574,-0.020250770820323217
2006,0.06563752791275355,0.02058077872511612,3.1892635740090642,4.213497905746541,-0.013607671600726737,0.00026679360839757514,-0.007919384500193227
2007,0.1332777674074343,0.03950792428506614,3.3734439310397497,4.575335364595447,-0.010774533420136111,0.0005308710331151863,-0.02719446497666468
2008,0.44532295458655435,0.07962045390273167,5.5930722918332405,8.373471503103374,-0.03925838161246201,0.001706593001920215,-0.01737603164539796
2009,0.1290209252163094,0.02635255684060023,4.895954726394233,12.257296763525197,-0.006792328750174334,0.0005178446451114526,-0.005336532529507489
2010,0.08349968952285806,0.019104725275563034,4.370630214173402,10.630780543071667,-0.02094091851955214,0.00034135675258971436,-0.0043831955117309565
2011,0.17050729326291686,0.033945129632801635,5.0230267230487575,5.646781858319739,-0.009051091910157835,0.0006771269132616088,-0.008863177671844101
2012,0.297807974626268,0.042425792127771866,7.01950298840321,13.827031053822266,-0.06444879869180854,0.001212472361999754,-0.008959497878876583
2013,0.12528888503850216,0.025788839467451606,4.858259914977203,11.816218981185413,0.02308275523837316,0.0004750475145464624,-0.0027173714542994987
2014,0.20811551752269536,0.04778499073741777,4.3552486735072575,28.99425625814095,0.00020205284029224004,0.0008257562790128311,-0.0017098599131363087
2015,0.10806783293689194,0.02354436967445296,4.5899650078189165,12.81598967386871,-0.016187034566630416,0.0004291295949044428,-0.0015507365997354608
2016,0.10069866719190952,0.02075136338278744,4.852628973546659,19.81754547734421,-0.02104256621451155,0.0004092109149607696,-0.0012927686199290243
2017,0.06565411207083213,0.020726047656077103,3.167710176116556,5.45505003815697,-0.03400333233562616,0.00028390829468854763,-0.0036238991204766372
2018,0.20144717358933376,0.035151840810267294,5.7307716735703425,10.675152824348624,0.04289437419762468,0.0008093659152388904,-0.007415680380892972
2019,0.10308340774548858,0.02412683133102938,4.272563037024825,18.44851758138357,-0.003286479329014356,0.0004124643596946881,-0.00121000401895178
2020,0.1426094444629975,0.036491798247964786,3.9079862136131123,5.5395925029499296,-0.005627426474715865,0.0005703146461023995,-0.014684894860877606
2021,0.0816288469363038,0.022633263059009427,3.606587645956358,9.06268785693144,0.009886695329371054,0.0003136203411096824,-0.0024914648957141813
2022,0.1180721092559836,0.035638605546517446,3.3130395380332565,14.558490936348592,-0.007309795078381001,0.00046289254974810344,-0.002512976545424567
